"breakfast","afternoon.tea","evening","after.lunch","after.dinner","anytime","home","work","tea.house","friends","restaurant","pub","tea.type","how","sugar","shape","location.of.purchase","price","sex","socio.professional.category","sport","age","frequency","escape.exotism","spirituality","healthy","diuretic","conviviality","iron.absorption","feminine","refined","slimming","stimulating","relaxing","no.effect.on.health"
"no breakfast","afternoon tea","no evening","no after lunch","no after dinner","no anytime","home","no work","no tea house","no friends","no restaurant","no pub","black","milk","no sugar","tea bag","large-scale retail stores","downmarket-p","F","other active","sportive","45-59","1/day","no escape-exotism","no spirituality","no healthy","no diuretic","no conviviality","no iron absorption","no feminine","no refined","no slimming","no stimulating","relaxing","no effect on health"
"breakfast","afternoon tea","no evening","no after lunch","no after dinner","anytime","home","work","no tea house","no friends","no restaurant","no pub","perfumed","pure","sugar","tea bag","large-scale retail stores","supermarket-p","F","worker","sportive","15-24","more than 2/day","escape-exotism","spirituality","no healthy","diuretic","no conviviality","no iron absorption","feminine","refined","slimming","stimulating","relaxing","effect on health"
"no breakfast","no afternoon tea","no evening","no after lunch","no after dinner","anytime","home","no work","no tea house","friends","no restaurant","no pub","perfumed","pure","sugar","tea bag","large-scale retail stores","famous-brand-p","F","non active","no sportive","15-24","1 to 2/week","escape-exotism","no spirituality","healthy","no diuretic","no conviviality","no iron absorption","feminine","refined","slimming","no stimulating","relaxing","effect on health"
"no breakfast","afternoon tea","no evening","no after lunch","no after dinner","no anytime","home","no work","no tea house","no friends","no restaurant","no pub","black","milk","no sugar","bulk","large-scale retail stores+specialized shop","famous-brand-p","F","non active","no sportive","35-44","3 to 6/week","escape-exotism","spirituality","no healthy","diuretic","conviviality","no iron absorption","no feminine","no refined","no slimming","stimulating","no relaxing","no effect on health"
"no breakfast","afternoon tea","evening","no after lunch","no after dinner","no anytime","home","no work","no tea house","friends","restaurant","pub","black","pure","no sugar","tea bag","large-scale retail stores+specialized shop","famous-brand-p","F","non active","no sportive","60 and more","3 to 6/week","no escape-exotism","no spirituality","healthy","diuretic","conviviality","no iron absorption","feminine","refined","no slimming","no stimulating","no relaxing","effect on health"
"no breakfast","no afternoon tea","evening","no after lunch","no after dinner","no anytime","home","no work","no tea house","no friends","restaurant","pub","black","pure","sugar","bulk","large-scale retail stores","famous-brand-p","F","non active","sportive","15-24","more than 2/day","escape-exotism","no spirituality","no healthy","no diuretic","conviviality","no iron absorption","no feminine","refined","no slimming","no stimulating","relaxing","no effect on health"
"breakfast","no afternoon tea","evening","no after lunch","no after dinner","no anytime","home","no work","no tea house","no friends","no restaurant","no pub","black","pure","no sugar","tea bag","large-scale retail stores","famous-brand-p","F","employee","no sportive","45-59","more than 2/day","escape-exotism","no spirituality","healthy","diuretic","conviviality","no iron absorption","no feminine","refined","no slimming","no stimulating","relaxing","effect on health"
"no breakfast","afternoon tea","no evening","no after lunch","no after dinner","no anytime","home","no work","no tea house","no friends","no restaurant","no pub","green","pure","no sugar","tea bag+bulk","large-scale retail stores","famous-brand-p","F","non active","no sportive","60 and more","1/day","no escape-exotism","no spirituality","healthy","diuretic","conviviality","no iron absorption","no feminine","refined","slimming","no stimulating","relaxing","effect on health"
"no breakfast","afternoon tea","no evening","no after lunch","no after dinner","no anytime","home","no work","no tea house","no friends","no restaurant","no pub","black","pure","no sugar","tea bag+bulk","large-scale retail stores","famous-brand-p","F","employee","sportive","15-24","1/day","escape-exotism","spirituality","healthy","no diuretic","conviviality","no iron absorption","no feminine","refined","no slimming","no stimulating","relaxing","effect on health"
"no breakfast","no afternoon tea","no evening","no after lunch","no after dinner","anytime","home","no work","no tea house","no friends","no restaurant","no pub","green","pure","no sugar","bulk","large-scale retail stores","upscale-p","F","employee","sportive","45-59","more than 2/day","no escape-exotism","spirituality","healthy","diuretic","conviviality","no iron absorption","feminine","refined","no slimming","no stimulating","no relaxing","effect on health"
"no breakfast","afternoon tea","no evening","no after lunch","no after dinner","no anytime","home","no work","no tea house","no friends","no restaurant","no pub","perfumed","pure","no sugar","tea bag","large-scale retail stores","famous-brand-p","F","non active","no sportive","45-59","1/day","no escape-exotism","no spirituality","no healthy","no diuretic","no conviviality","no iron absorption","no feminine","no refined","no slimming","no stimulating","no relaxing","no effect on health"
"no breakfast","afternoon tea","no evening","no after lunch","no after dinner","no anytime","home","no work","no tea house","no friends","no restaurant","no pub","green","pure","no sugar","tea bag","large-scale retail stores","famous-brand-p","F","non active","no sportive","60 and more","more than 2/day","no escape-exotism","no spirituality","healthy","diuretic","conviviality","no iron absorption","feminine","refined","no slimming","no stimulating","no relaxing","effect on health"
"no breakfast","no afternoon tea","no evening","no after lunch","no after dinner","anytime","home","no work","no tea house","no friends","no restaurant","pub","black","lemon","no sugar","bulk","specialized shop","upscale-p","F","top executive","no sportive","45-59","more than 2/day","escape-exotism","no spirituality","no healthy","diuretic","no conviviality","no iron absorption","feminine","refined","no slimming","stimulating","no relaxing","effect on health"
"no breakfast","no afternoon tea","evening","no after lunch","no after dinner","no anytime","home","no work","no tea house","no friends","no restaurant","no pub","perfumed","pure","sugar","tea bag","large-scale retail stores","variable-p","F","employee","no sportive","25-34","1 to 2/week","no escape-exotism","spirituality","healthy","no diuretic","conviviality","no iron absorption","feminine","refined","no slimming","stimulating","relaxing","effect on health"
"breakfast","afternoon tea","evening","no after lunch","no after dinner","no anytime","home","no work","no tea house","no friends","no restaurant","pub","perfumed","pure","sugar","tea bag","large-scale retail stores","variable-p","F","student","sportive","15-24","more than 2/day","escape-exotism","spirituality","healthy","diuretic","conviviality","no iron absorption","no feminine","no refined","no slimming","stimulating","relaxing","effect on health"
"breakfast","afternoon tea","no evening","no after lunch","no after dinner","anytime","home","work","no tea house","no friends","no restaurant","pub","perfumed","pure","sugar","bulk","large-scale retail stores+specialized shop","upscale-p","F","student","sportive","15-24","more than 2/day","no escape-exotism","spirituality","healthy","diuretic","conviviality","no iron absorption","feminine","refined","no slimming","no stimulating","relaxing","effect on health"
"breakfast","afternoon tea","no evening","no after lunch","no after dinner","anytime","home","no work","no tea house","friends","no restaurant","pub","perfumed","pure","no sugar","tea bag+bulk","large-scale retail stores+specialized shop","variable-p","F","middle class executive","sportive","25-34","more than 2/day","escape-exotism","no spirituality","healthy","no diuretic","conviviality","no iron absorption","feminine","refined","no slimming","stimulating","no relaxing","effect on health"
"breakfast","afternoon tea","evening","no after lunch","no after dinner","no anytime","home","no work","no tea house","no friends","restaurant","pub","black","pure","no sugar","tea bag+bulk","large-scale retail stores","upscale-p","F","employee","no sportive","45-59","more than 2/day","no escape-exotism","no spirituality","healthy","diuretic","conviviality","no iron absorption","no feminine","refined","no slimming","no stimulating","relaxing","effect on health"
"no breakfast","afternoon tea","evening","no after lunch","no after dinner","no anytime","home","no work","no tea house","no friends","restaurant","pub","perfumed","pure","sugar","tea bag","large-scale retail stores","famous-brand-p","F","student","no sportive","15-24","more than 2/day","escape-exotism","no spirituality","healthy","diuretic","conviviality","iron absorption","no feminine","refined","no slimming","no stimulating","relaxing","effect on health"
"breakfast","no afternoon tea","no evening","no after lunch","no after dinner","anytime","home","no work","no tea house","no friends","restaurant","no pub","perfumed","pure","sugar","tea bag","large-scale retail stores","variable-p","F","non active","no sportive","25-34","1/day","no escape-exotism","no spirituality","healthy","no diuretic","conviviality","no iron absorption","feminine","no refined","slimming","stimulating","no relaxing","effect on health"
"breakfast","no afternoon tea","no evening","no after lunch","no after dinner","anytime","home","no work","no tea house","no friends","no restaurant","pub","perfumed","pure","sugar","tea bag","large-scale retail stores","famous-brand-p","F","student","sportive","15-24","more than 2/day","no escape-exotism","spirituality","healthy","diuretic","conviviality","no iron absorption","no feminine","no refined","no slimming","stimulating","no relaxing","effect on health"
"breakfast","afternoon tea","no evening","no after lunch","no after dinner","no anytime","home","no work","no tea house","no friends","no restaurant","pub","perfumed","pure","sugar","tea bag","large-scale retail stores","famous-brand-p","F","student","sportive","15-24","more than 2/day","no escape-exotism","no spirituality","healthy","diuretic","conviviality","no iron absorption","feminine","no refined","no slimming","no stimulating","relaxing","effect on health"
"no breakfast","no afternoon tea","no evening","no after lunch","no after dinner","anytime","home","no work","no tea house","friends","no restaurant","no pub","perfumed","pure","no sugar","tea bag+bulk","large-scale retail stores","variable-p","F","student","sportive","15-24","more than 2/day","escape-exotism","no spirituality","healthy","no diuretic","conviviality","no iron absorption","feminine","refined","no slimming","no stimulating","relaxing","effect on health"
"breakfast","afternoon tea","no evening","no after lunch","no after dinner","no anytime","home","work","no tea house","friends","no restaurant","no pub","perfumed","lemon","sugar","tea bag","large-scale retail stores","famous-brand-p","F","worker","sportive","15-24","more than 2/day","no escape-exotism","spirituality","healthy","diuretic","no conviviality","iron absorption","feminine","refined","no slimming","no stimulating","relaxing","effect on health"
"no breakfast","no afternoon tea","evening","no after lunch","no after dinner","anytime","home","no work","no tea house","no friends","no restaurant","no pub","green","pure","sugar","tea bag+bulk","large-scale retail stores","famous-brand-p","F","student","sportive","15-24","more than 2/day","no escape-exotism","no spirituality","healthy","no diuretic","conviviality","no iron absorption","feminine","refined","no slimming","stimulating","relaxing","effect on health"
"no breakfast","afternoon tea","no evening","no after lunch","no after dinner","no anytime","home","no work","no tea house","no friends","restaurant","no pub","black","milk","sugar","tea bag","large-scale retail stores","unknown-p","M","other active","sportive","45-59","1/day","no escape-exotism","no spirituality","no healthy","no diuretic","conviviality","no iron absorption","no feminine","no refined","no slimming","no stimulating","relaxing","effect on health"
"breakfast","no afternoon tea","no evening","no after lunch","no after dinner","no anytime","home","no work","no tea house","no friends","no restaurant","no pub","black","pure","no sugar","bulk","specialized shop","upscale-p","M","middle class executive","sportive","45-59","3 to 6/week","escape-exotism","no spirituality","healthy","no diuretic","conviviality","iron absorption","no feminine","refined","no slimming","no stimulating","no relaxing","effect on health"
"breakfast","afternoon tea","no evening","no after lunch","no after dinner","no anytime","home","no work","no tea house","no friends","no restaurant","no pub","black","pure","no sugar","tea bag","large-scale retail stores","supermarket-p","M","top executive","sportive","35-44","1/day","escape-exotism","no spirituality","healthy","diuretic","no conviviality","no iron absorption","no feminine","no refined","no slimming","no stimulating","relaxing","effect on health"
"breakfast","no afternoon tea","no evening","no after lunch","no after dinner","no anytime","home","no work","no tea house","no friends","no restaurant","no pub","perfumed","milk","sugar","tea bag","large-scale retail stores","variable-p","M","middle class executive","no sportive","45-59","1/day","escape-exotism","no spirituality","no healthy","diuretic","conviviality","no iron absorption","no feminine","refined","no slimming","no stimulating","no relaxing","no effect on health"
"breakfast","afternoon tea","evening","no after lunch","no after dinner","anytime","home","no work","no tea house","no friends","no restaurant","pub","perfumed","pure","sugar","tea bag+bulk","large-scale retail stores","variable-p","M","employee","sportive","25-34","more than 2/day","no escape-exotism","no spirituality","healthy","no diuretic","conviviality","no iron absorption","no feminine","refined","no slimming","no stimulating","relaxing","effect on health"
"no breakfast","no afternoon tea","no evening","no after lunch","no after dinner","anytime","home","no work","no tea house","no friends","no restaurant","no pub","green","pure","no sugar","tea bag","large-scale retail stores","variable-p","M","non active","no sportive","60 and more","1/day","no escape-exotism","no spirituality","healthy","no diuretic","conviviality","no iron absorption","no feminine","refined","no slimming","stimulating","no relaxing","effect on health"
"breakfast","no afternoon tea","no evening","no after lunch","no after dinner","no anytime","home","no work","no tea house","no friends","no restaurant","no pub","green","pure","sugar","tea bag","large-scale retail stores","famous-brand-p","M","non active","no sportive","60 and more","1/day","no escape-exotism","spirituality","healthy","diuretic","conviviality","no iron absorption","no feminine","no refined","no slimming","stimulating","no relaxing","effect on health"
"no breakfast","afternoon tea","no evening","no after lunch","no after dinner","no anytime","home","no work","no tea house","no friends","no restaurant","no pub","green","pure","sugar","tea bag","large-scale retail stores","famous-brand-p","M","worker","sportive","35-44","1/day","no escape-exotism","no spirituality","healthy","diuretic","no conviviality","no iron absorption","no feminine","no refined","no slimming","no stimulating","relaxing","effect on health"
"no breakfast","no afternoon tea","no evening","no after lunch","no after dinner","anytime","home","no work","no tea house","friends","no restaurant","no pub","green","pure","sugar","tea bag+bulk","large-scale retail stores","supermarket-p","M","non active","sportive","15-24","1 to 2/week","no escape-exotism","no spirituality","healthy","no diuretic","no conviviality","no iron absorption","feminine","no refined","no slimming","no stimulating","relaxing","effect on health"
"breakfast","no afternoon tea","no evening","no after lunch","no after dinner","anytime","home","no work","tea house","friends","no restaurant","no pub","green","lemon","sugar","bulk","specialized shop","upscale-p","M","middle class executive","no sportive","25-34","more than 2/day","escape-exotism","no spirituality","healthy","no diuretic","conviviality","no iron absorption","feminine","refined","no slimming","no stimulating","relaxing","effect on health"
"no breakfast","no afternoon tea","no evening","no after lunch","after dinner","no anytime","home","no work","no tea house","no friends","restaurant","no pub","perfumed","pure","sugar","tea bag+bulk","specialized shop","variable-p","M","worker","sportive","25-34","3 to 6/week","escape-exotism","spirituality","no healthy","diuretic","conviviality","no iron absorption","no feminine","refined","no slimming","stimulating","no relaxing","effect on health"
"no breakfast","no afternoon tea","evening","after lunch","no after dinner","no anytime","home","no work","no tea house","friends","no restaurant","no pub","perfumed","pure","sugar","tea bag+bulk","large-scale retail stores","famous-brand-p","M","employee","sportive","25-34","more than 2/day","escape-exotism","no spirituality","healthy","diuretic","conviviality","no iron absorption","no feminine","refined","no slimming","stimulating","relaxing","effect on health"
"no breakfast","no afternoon tea","no evening","no after lunch","no after dinner","anytime","home","no work","no tea house","no friends","no restaurant","no pub","perfumed","pure","sugar","tea bag","large-scale retail stores","downmarket-p","M","worker","no sportive","15-24","1/day","no escape-exotism","no spirituality","no healthy","no diuretic","no conviviality","no iron absorption","no feminine","no refined","no slimming","stimulating","no relaxing","no effect on health"
"no breakfast","no afternoon tea","evening","no after lunch","no after dinner","no anytime","no home","no work","no tea house","friends","no restaurant","no pub","perfumed","pure","sugar","tea bag+bulk","large-scale retail stores","famous-brand-p","F","student","no sportive","15-24","1/day","no escape-exotism","spirituality","healthy","no diuretic","conviviality","no iron absorption","no feminine","no refined","no slimming","no stimulating","relaxing","effect on health"
"breakfast","no afternoon tea","no evening","no after lunch","no after dinner","no anytime","home","no work","no tea house","no friends","no restaurant","no pub","green","pure","no sugar","bulk","specialized shop","upscale-p","M","other active","sportive","45-59","1/day","no escape-exotism","no spirituality","healthy","no diuretic","no conviviality","no iron absorption","no feminine","refined","no slimming","no stimulating","no relaxing","effect on health"
"breakfast","afternoon tea","no evening","no after lunch","no after dinner","anytime","home","work","no tea house","friends","no restaurant","no pub","black","pure","no sugar","bulk","large-scale retail stores","variable-p","M","employee","no sportive","35-44","more than 2/day","no escape-exotism","spirituality","healthy","diuretic","no conviviality","no iron absorption","no feminine","refined","no slimming","no stimulating","relaxing","effect on health"
"no breakfast","no afternoon tea","no evening","no after lunch","after dinner","anytime","no home","no work","no tea house","no friends","no restaurant","pub","perfumed","lemon","sugar","tea bag","large-scale retail stores","famous-brand-p","M","employee","sportive","25-34","1 to 2/week","no escape-exotism","spirituality","healthy","diuretic","no conviviality","no iron absorption","no feminine","refined","slimming","stimulating","relaxing","effect on health"
"no breakfast","no afternoon tea","evening","no after lunch","after dinner","no anytime","home","no work","no tea house","friends","no restaurant","pub","perfumed","pure","no sugar","tea bag","large-scale retail stores+specialized shop","variable-p","M","worker","sportive","15-24","1/day","escape-exotism","spirituality","healthy","no diuretic","conviviality","no iron absorption","no feminine","refined","no slimming","no stimulating","relaxing","effect on health"
"breakfast","no afternoon tea","no evening","no after lunch","no after dinner","no anytime","home","no work","no tea house","no friends","no restaurant","pub","green","pure","no sugar","tea bag","specialized shop","upscale-p","M","non active","sportive","60 and more","more than 2/day","no escape-exotism","no spirituality","healthy","diuretic","no conviviality","no iron absorption","feminine","refined","no slimming","stimulating","relaxing","effect on health"
"breakfast","no afternoon tea","no evening","no after lunch","no after dinner","no anytime","home","no work","no tea house","no friends","no restaurant","no pub","green","pure","sugar","tea bag","large-scale retail stores","famous-brand-p","M","middle class executive","sportive","45-59","1/day","no escape-exotism","no spirituality","healthy","no diuretic","no conviviality","no iron absorption","no feminine","no refined","no slimming","no stimulating","no relaxing","effect on health"
"breakfast","afternoon tea","no evening","no after lunch","after dinner","no anytime","home","work","no tea house","friends","no restaurant","no pub","perfumed","lemon","sugar","tea bag+bulk","large-scale retail stores+specialized shop","famous-brand-p","M","employee","no sportive","25-34","1/day","escape-exotism","spirituality","healthy","no diuretic","no conviviality","no iron absorption","no feminine","refined","no slimming","stimulating","relaxing","effect on health"
"no breakfast","afternoon tea","no evening","no after lunch","no after dinner","no anytime","home","no work","tea house","friends","no restaurant","no pub","black","pure","no sugar","bulk","specialized shop","upscale-p","M","middle class executive","sportive","45-59","1 to 2/week","no escape-exotism","no spirituality","healthy","diuretic","conviviality","no iron absorption","no feminine","refined","no slimming","stimulating","no relaxing","no effect on health"
"no breakfast","no afternoon tea","no evening","no after lunch","after dinner","no anytime","home","no work","no tea house","friends","no restaurant","pub","perfumed","pure","sugar","tea bag+bulk","large-scale retail stores+specialized shop","upscale-p","M","non active","sportive","25-34","1/day","escape-exotism","spirituality","healthy","no diuretic","conviviality","no iron absorption","no feminine","no refined","no slimming","no stimulating","relaxing","no effect on health"
"no breakfast","no afternoon tea","no evening","no after lunch","after dinner","no anytime","home","no work","tea house","friends","restaurant","no pub","perfumed","other","sugar","tea bag","large-scale retail stores","famous-brand-p","M","employee","sportive","15-24","1 to 2/week","no escape-exotism","no spirituality","healthy","no diuretic","conviviality","no iron absorption","no feminine","refined","no slimming","no stimulating","relaxing","no effect on health"
"no breakfast","no afternoon tea","no evening","no after lunch","after dinner","no anytime","home","no work","no tea house","friends","no restaurant","no pub","green","pure","no sugar","tea bag","large-scale retail stores","famous-brand-p","M","other active","sportive","25-34","1/day","no escape-exotism","no spirituality","no healthy","no diuretic","conviviality","no iron absorption","no feminine","refined","no slimming","stimulating","no relaxing","effect on health"
"breakfast","afternoon tea","evening","no after lunch","no after dinner","no anytime","home","no work","no tea house","friends","no restaurant","no pub","black","milk","no sugar","bulk","large-scale retail stores","upscale-p","M","non active","no sportive","60 and more","more than 2/day","no escape-exotism","no spirituality","healthy","diuretic","conviviality","no iron absorption","no feminine","no refined","no slimming","stimulating","relaxing","effect on health"
"no breakfast","afternoon tea","no evening","no after lunch","no after dinner","no anytime","home","no work","tea house","friends","no restaurant","pub","black","lemon","no sugar","tea bag+bulk","large-scale retail stores+specialized shop","variable-p","M","non active","no sportive","60 and more","1/day","no escape-exotism","no spirituality","healthy","diuretic","conviviality","no iron absorption","feminine","no refined","no slimming","stimulating","no relaxing","effect on health"
"no breakfast","no afternoon tea","evening","no after lunch","no after dinner","anytime","home","no work","no tea house","friends","no restaurant","no pub","black","lemon","sugar","bulk","specialized shop","upscale-p","M","non active","no sportive","60 and more","1 to 2/week","escape-exotism","no spirituality","no healthy","no diuretic","conviviality","no iron absorption","feminine","refined","no slimming","no stimulating","relaxing","effect on health"
"no breakfast","no afternoon tea","evening","no after lunch","no after dinner","no anytime","home","no work","no tea house","friends","no restaurant","no pub","green","pure","sugar","bulk","large-scale retail stores","variable-p","M","employee","no sportive","25-34","3 to 6/week","escape-exotism","no spirituality","no healthy","no diuretic","no conviviality","no iron absorption","no feminine","refined","no slimming","stimulating","no relaxing","effect on health"
"breakfast","afternoon tea","no evening","no after lunch","no after dinner","no anytime","home","work","no tea house","friends","no restaurant","pub","perfumed","pure","sugar","tea bag","large-scale retail stores","variable-p","M","employee","sportive","15-24","1/day","escape-exotism","spirituality","healthy","no diuretic","conviviality","no iron absorption","feminine","no refined","no slimming","no stimulating","relaxing","no effect on health"
"breakfast","no afternoon tea","no evening","no after lunch","after dinner","no anytime","home","no work","no tea house","friends","no restaurant","no pub","black","pure","sugar","bulk","specialized shop","upscale-p","M","top executive","sportive","25-34","more than 2/day","no escape-exotism","no spirituality","healthy","no diuretic","conviviality","iron absorption","no feminine","refined","slimming","stimulating","relaxing","effect on health"
"no breakfast","no afternoon tea","no evening","no after lunch","after dinner","anytime","home","work","no tea house","no friends","no restaurant","no pub","green","milk","no sugar","tea bag","specialized shop","upscale-p","M","employee","sportive","25-34","1 to 2/week","no escape-exotism","no spirituality","no healthy","diuretic","no conviviality","no iron absorption","feminine","no refined","no slimming","no stimulating","relaxing","no effect on health"
"no breakfast","no afternoon tea","evening","no after lunch","no after dinner","no anytime","home","no work","no tea house","no friends","no restaurant","no pub","black","pure","no sugar","tea bag","large-scale retail stores","variable-p","M","student","no sportive","45-59","3 to 6/week","escape-exotism","no spirituality","no healthy","diuretic","no conviviality","no iron absorption","no feminine","no refined","no slimming","no stimulating","no relaxing","no effect on health"
"breakfast","no afternoon tea","evening","no after lunch","no after dinner","no anytime","home","no work","no tea house","no friends","no restaurant","no pub","perfumed","pure","sugar","tea bag","large-scale retail stores+specialized shop","variable-p","M","employee","sportive","15-24","more than 2/day","escape-exotism","spirituality","healthy","no diuretic","no conviviality","no iron absorption","no feminine","refined","no slimming","stimulating","relaxing","effect on health"
"breakfast","no afternoon tea","no evening","after lunch","no after dinner","no anytime","home","work","no tea house","no friends","restaurant","pub","perfumed","lemon","no sugar","tea bag","large-scale retail stores","variable-p","M","non active","sportive","25-34","more than 2/day","escape-exotism","spirituality","healthy","no diuretic","no conviviality","iron absorption","no feminine","refined","no slimming","stimulating","no relaxing","effect on health"
"breakfast","no afternoon tea","no evening","no after lunch","no after dinner","anytime","home","work","no tea house","friends","no restaurant","no pub","black","milk","sugar","tea bag","large-scale retail stores","famous-brand-p","M","top executive","sportive","45-59","more than 2/day","escape-exotism","no spirituality","healthy","diuretic","no conviviality","no iron absorption","no feminine","no refined","slimming","no stimulating","relaxing","effect on health"
"no breakfast","no afternoon tea","no evening","no after lunch","after dinner","no anytime","home","no work","no tea house","friends","no restaurant","no pub","black","pure","no sugar","tea bag+bulk","large-scale retail stores","variable-p","M","employee","sportive","25-34","1 to 2/week","escape-exotism","no spirituality","healthy","no diuretic","no conviviality","no iron absorption","feminine","refined","no slimming","stimulating","no relaxing","no effect on health"
"no breakfast","no afternoon tea","no evening","no after lunch","no after dinner","anytime","home","no work","no tea house","friends","no restaurant","pub","perfumed","pure","no sugar","tea bag","large-scale retail stores","famous-brand-p","M","student","sportive","15-24","more than 2/day","no escape-exotism","spirituality","healthy","no diuretic","conviviality","no iron absorption","no feminine","refined","no slimming","no stimulating","relaxing","effect on health"
"breakfast","no afternoon tea","no evening","no after lunch","no after dinner","no anytime","home","no work","no tea house","no friends","no restaurant","no pub","perfumed","milk","sugar","tea bag","large-scale retail stores","famous-brand-p","M","middle class executive","sportive","15-24","1/day","escape-exotism","no spirituality","healthy","no diuretic","no conviviality","no iron absorption","no feminine","no refined","slimming","stimulating","no relaxing","effect on health"
"no breakfast","afternoon tea","no evening","no after lunch","no after dinner","no anytime","home","no work","tea house","no friends","restaurant","pub","perfumed","lemon","no sugar","bulk","specialized shop","upscale-p","M","non active","sportive","60 and more","1/day","no escape-exotism","spirituality","healthy","diuretic","conviviality","no iron absorption","feminine","refined","slimming","no stimulating","relaxing","effect on health"
"breakfast","afternoon tea","evening","after lunch","no after dinner","anytime","home","work","no tea house","friends","restaurant","no pub","perfumed","lemon","no sugar","tea bag+bulk","large-scale retail stores","famous-brand-p","M","employee","sportive","25-34","more than 2/day","no escape-exotism","no spirituality","healthy","diuretic","conviviality","no iron absorption","no feminine","no refined","no slimming","no stimulating","relaxing","effect on health"
"no breakfast","no afternoon tea","no evening","no after lunch","after dinner","no anytime","home","no work","no tea house","friends","no restaurant","no pub","green","pure","no sugar","tea bag+bulk","specialized shop","variable-p","M","worker","no sportive","25-34","1/day","no escape-exotism","spirituality","healthy","diuretic","conviviality","no iron absorption","no feminine","refined","no slimming","stimulating","no relaxing","effect on health"
"no breakfast","no afternoon tea","no evening","no after lunch","after dinner","no anytime","home","no work","no tea house","friends","no restaurant","no pub","perfumed","pure","sugar","tea bag","large-scale retail stores","famous-brand-p","M","employee","sportive","15-24","3 to 6/week","escape-exotism","spirituality","healthy","diuretic","no conviviality","no iron absorption","no feminine","refined","no slimming","stimulating","relaxing","effect on health"
"breakfast","afternoon tea","evening","no after lunch","no after dinner","anytime","home","no work","no tea house","friends","no restaurant","no pub","perfumed","lemon","no sugar","tea bag+bulk","large-scale retail stores+specialized shop","upscale-p","M","top executive","sportive","45-59","more than 2/day","no escape-exotism","no spirituality","healthy","diuretic","conviviality","no iron absorption","no feminine","no refined","slimming","stimulating","no relaxing","no effect on health"
"no breakfast","afternoon tea","no evening","no after lunch","no after dinner","no anytime","home","work","tea house","no friends","no restaurant","no pub","black","milk","no sugar","tea bag+bulk","large-scale retail stores+specialized shop","variable-p","M","top executive","no sportive","25-34","1/day","no escape-exotism","spirituality","no healthy","diuretic","conviviality","no iron absorption","feminine","refined","no slimming","stimulating","no relaxing","no effect on health"
"no breakfast","no afternoon tea","no evening","no after lunch","no after dinner","anytime","home","no work","no tea house","friends","no restaurant","no pub","green","pure","no sugar","tea bag","large-scale retail stores","variable-p","F","employee","no sportive","45-59","more than 2/day","escape-exotism","spirituality","healthy","diuretic","no conviviality","iron absorption","no feminine","refined","no slimming","no stimulating","relaxing","effect on health"
"no breakfast","no afternoon tea","no evening","no after lunch","after dinner","no anytime","home","no work","no tea house","no friends","no restaurant","no pub","green","pure","no sugar","tea bag+bulk","specialized shop","upscale-p","F","employee","no sportive","25-34","more than 2/day","no escape-exotism","spirituality","healthy","diuretic","no conviviality","no iron absorption","no feminine","refined","no slimming","stimulating","no relaxing","effect on health"
"no breakfast","afternoon tea","no evening","no after lunch","no after dinner","no anytime","home","no work","no tea house","friends","no restaurant","no pub","black","pure","sugar","tea bag","large-scale retail stores","famous-brand-p","F","employee","no sportive","35-44","1/day","escape-exotism","no spirituality","healthy","diuretic","conviviality","no iron absorption","feminine","refined","no slimming","stimulating","no relaxing","effect on health"
"no breakfast","afternoon tea","evening","after lunch","no after dinner","anytime","home","work","no tea house","friends","no restaurant","no pub","green","pure","no sugar","bulk","specialized shop","upscale-p","F","student","sportive","25-34","more than 2/day","no escape-exotism","no spirituality","healthy","diuretic","conviviality","no iron absorption","no feminine","refined","no slimming","no stimulating","no relaxing","effect on health"
"no breakfast","afternoon tea","no evening","no after lunch","no after dinner","no anytime","home","no work","no tea house","friends","no restaurant","no pub","perfumed","milk","no sugar","tea bag","large-scale retail stores","famous-brand-p","F","non active","no sportive","35-44","1/day","no escape-exotism","no spirituality","healthy","diuretic","conviviality","no iron absorption","feminine","refined","no slimming","no stimulating","no relaxing","effect on health"
"breakfast","no afternoon tea","no evening","no after lunch","no after dinner","no anytime","home","no work","no tea house","no friends","no restaurant","no pub","black","pure","no sugar","tea bag+bulk","large-scale retail stores","famous-brand-p","F","employee","sportive","45-59","1/day","escape-exotism","spirituality","healthy","diuretic","no conviviality","no iron absorption","feminine","refined","no slimming","stimulating","no relaxing","effect on health"
"breakfast","afternoon tea","no evening","no after lunch","no after dinner","no anytime","home","no work","no tea house","no friends","no restaurant","no pub","perfumed","pure","no sugar","tea bag","large-scale retail stores","supermarket-p","F","student","sportive","15-24","1/day","no escape-exotism","no spirituality","healthy","diuretic","conviviality","no iron absorption","feminine","refined","slimming","no stimulating","relaxing","effect on health"
"breakfast","no afternoon tea","no evening","no after lunch","no after dinner","no anytime","home","no work","no tea house","friends","restaurant","no pub","perfumed","pure","no sugar","tea bag+bulk","large-scale retail stores+specialized shop","variable-p","F","top executive","sportive","25-34","1/day","no escape-exotism","no spirituality","healthy","diuretic","conviviality","no iron absorption","no feminine","no refined","no slimming","no stimulating","no relaxing","effect on health"
